date,headline,doc_type,material_type,section,keywords
2020-03-01,"On ‘S.N.L.’, John Mulaney and Jake Gyllenhaal Find Humor in the Coronavirus",article,News,,['Television']
2020-03-01,‘Forget About It!’,article,News,,['Crossword Puzzles']
2020-03-01,"A Virus Spreads, Stocks Fall, and Democrats See an Opening to Hit Trump",article,News,,"['Coronavirus (2019-nCoV)', 'Presidential Election of 2020', 'United States Economy', 'Interest Rates', 'Income Inequality', 'United States Politics and Government', 'Epidemics']"
2020-03-01,Wall Street Has Lost Its Nerve. What Will It Take to Get It Back?,article,News,,"['Stocks and Bonds', ""Standard & Poor's 500-Stock Index"", 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'United States Economy']"
2020-03-01,Sungjae Im Gets First PGA Tour Win at Honda Classic,article,News,,['Golf']
2020-03-01,In Trump’s Words: Praise for the Taliban and Optimism About the Coronavirus,article,News,,"['Politics and Government', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']"
2020-03-01,How the Democrats’ ‘15% Rule’ Could Reshape the Race on Super Tuesday,article,News,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'United States Politics and Government']"
2020-03-01,Abortion Case in Colombia Could Be a Landmark in Latin America,article,News,,"['ABORTION', 'Women and Girls']"
2020-03-01,Israeli Slugfest:The Campaign in Pictures,article,News,,"['Politics and Government', 'Elections']"
2020-03-01,"Velvet Ropes, Inclusion and Kanye West in Paris",article,News,,"['Fashion and Apparel', 'Paris Fashion Week', 'your-feed-fashion']"
2020-03-01,Kobe Bryant’s Widow ‘Devastated’ by Reports That Deputies Shared Crash Photos,article,News,,"['Helicopters', 'Privacy', 'Aviation Accidents, Safety and Disasters']"
2020-03-01,Fear of Coronavirus Leaves the Faithful Without Mass in Italy’s North,article,News,,"['Coronavirus (2019-nCoV)', 'Travel Warnings']"
2020-03-01,"For Buttigieg, a Search for Black Support That Never Arrived",article,News,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'Black People']"
2020-03-01,"Defiant Iranian Directors Speak Out About Censorship, Onscreen and Off",article,News,,"['Movies', 'Berlin International Film Festival', 'Politics and Government', 'Censorship', 'Awards, Decorations and Honors']"
2020-03-01,Baristas at Starbucks Accuse Service Company of Abuse and Pay Gaps,article,News,,"['Discrimination', 'Organized Labor', 'Wages and Salaries', 'Race and Ethnicity', 'Black People', 'Transgender and Transsexuals', 'AIRPORTS', 'Immigration and Emigration']"
2020-03-01,"Defiant Iranian Directors Speak Out About Censorship, Onscreen and Off",article,News,,"['Movies', 'Berlin International Film Festival', 'Politics and Government', 'Censorship', 'Awards, Decorations and Honors']"
2020-03-01,Intel’s Culture Needed Fixing. Its C.E.O. Is Shaking Things Up.,article,News,,"['Computer Chips', 'APPOINTMENTS AND EXECUTIVE CHANGES', 'Engineering and Engineers', 'Executives and Management (Theory)']"
2020-03-01,"As Another Election Looms, Israelis Ponder Politics, and Contagion",article,News,,"['Elections', 'Coronavirus (2019-nCoV)', 'Travel and Vacations']"
2020-03-01,Fear of Coronavirus Leaves the Faithful Without Mass in Italy’s North,article,News,,"['Coronavirus (2019-nCoV)', 'Travel Warnings']"
2020-03-01,Kobe Bryant’s Widow ‘Devastated’ by Reports That Deputies Shared Crash Photos,article,News,,"['Helicopters', 'Privacy', 'Aviation Accidents, Safety and Disasters']"
2020-03-01,Greece Suspends Asylum as Turkey Opens Gates for Migrants,article,News,,"['Immigration and Emigration', 'Refugees and Displaced Persons', 'Defense and Military Forces']"
2020-03-01,Afghanistan War Enters New Stage as U.S. Military Prepares to Exit,article,News,,"['United States Defense and Military Forces', 'Terrorism', 'Afghanistan War (2001- )']"
2020-03-01,"For Buttigieg, a Search for Black Support That Never Arrived",article,News,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'Black People']"
2020-03-01,"Amber Bloom, Dov Lebowitz-Nowak",article,News,,['Weddings and Engagements']
2020-03-01,Israeli Slugfest:The Campaign in Pictures,article,News,,"['Politics and Government', 'Elections']"
2020-03-01,"‘Invisible Man’ Tops Box Office, Giving New Life to Old Monsters",article,News,,['Movies']
2020-03-01,"In India, Modi’s Policies Have Lit a Fuse",article,News,,"['Politics and Government', 'Muslims and Islam', 'Demonstrations, Protests and Riots', 'Hinduism', 'Police Brutality, Misconduct and Shootings', 'Discrimination']"
2020-03-01,Pete Buttigieg Drops Out of Democratic Presidential Race,article,News,,['Presidential Election of 2020']
2020-03-01,Milken Had Key Allies in Pardon Bid: Trump’s Inner Circle,article,News,,"['Amnesties, Commutations and Pardons', 'Securities and Commodities Violations', 'United States Politics and Government']"
2020-03-01,"Danielle Foster, Douglas Graham",article,News,,['Weddings and Engagements']
2020-03-01,The Week in Business: It Was All About the Coronavirus,article,News,,"['Stocks and Bonds', 'United States Economy', 'Coronavirus (2019-nCoV)', 'Mergers, Acquisitions and Divestitures', 'International Trade and World Market']"
2020-03-01,"Winning South Carolina, Biden Makes Case Against Sanders: ‘Win Big or Lose’",article,News,,"['Presidential Elections (US)', 'Primaries and Caucuses', 'Presidential Election of 2020', 'Voting and Voters', 'Black People', 'Polls and Public Opinion']"
2020-03-01,Tom Steyer Drops Out of 2020 Presidential Race,article,News,,"['Presidential Election of 2020', 'Campaign Finance', 'Primaries and Caucuses', 'United States Politics and Government']"
2020-03-01,‘Slovakia Has Woken Up’: Governing Party Suffers Decisive Election Defeat,article,News,,"['Politics and Government', 'Corruption (Institutional)', 'Elections', 'Neo Nazi Groups', 'Organized Crime']"
2020-03-01,Afghan Peace Plan Faces Its First Roadblock: Releasing Taliban Prisoners,article,News,,"['Terrorism', 'Women and Girls', 'Afghanistan War (2001- )']"
2020-03-01,"‘Invisible Man’ Tops Box Office, Giving New Life to Old Monsters",article,News,,['Movies']
2020-03-01,Avoiding Coronavirus May Be a Luxury Some Workers Can’t Afford,article,News,,"['Paid Time Off', 'Coronavirus (2019-nCoV)', 'Telecommuting', 'Income Inequality', 'Health Insurance and Managed Care']"
2020-03-01,"In India, Modi’s Policies Have Lit a Fuse",article,News,,"['Politics and Government', 'Muslims and Islam', 'Demonstrations, Protests and Riots', 'Hinduism', 'Police Brutality, Misconduct and Shootings', 'Discrimination']"
2020-03-01,The Met Opera’s ‘Dutchman’ Sails Into Port With a New Star,article,News,,['Opera']
2020-03-01,The Met Opera’s ‘Dutchman’ Sails Into Port With a New Star,article,News,,['Opera']
2020-03-01,Why Some Suburban Women Are Wary of Bernie Sanders,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'Women and Girls']"
2020-03-01,This Was Molly Seidel’s First Marathon. Her Next Will Be at the Olympics.,article,News,,"['Olympic Games (2020)', 'Marathon Running']"
2020-03-01,"Panic Shopping for Coronavirus Supplies, but Brunch Is Packed",article,News,,"['Coronavirus (2019-nCoV)', 'Travel and Vacations']"
2020-03-01,How Coronavirus Is Already Being Viewed Through a Partisan Lens,article,News,,"['Coronavirus (2019-nCoV)', 'Epidemics']"
2020-03-01,Second Death From Virus Is Reported in the U.S.,article,News,,['Coronavirus (2019-nCoV)']
2020-03-01,Working From Home: How Coronavirus Could Affect the Workplace,article,News,,"['Paid Time Off', 'Workplace Hazards and Violations', 'Labor and Jobs', 'Coronavirus (2019-nCoV)', 'Workplace Environment', ""Workers' Compensation Insurance"", 'Wages and Salaries', 'Disability Insurance']"
2020-03-01,"Meredith Perry, Amit Bedi",article,News,,['Weddings and Engagements']
2020-03-01,"Thomas Schultz, Robert Blalock",article,News,,['Weddings and Engagements']
2020-03-01,"Avy Villaraza, Darnell Thompson",article,News,,['Weddings and Engagements']
2020-03-01,Turkey Declares Major Offensive Against Syrian Government,article,News,,['Defense and Military Forces']
2020-03-01,‘Bloody Sunday’ Commemoration Draws Democratic Candidates to Selma,article,News,,"['Presidential Election of 2020', 'Civil Rights and Liberties', 'Civil Rights Movement (1954-68)', 'Black People', 'Demonstrations, Protests and Riots']"
2020-03-01,"An Office With 128,000 Miles",article,News,,"['News and News Media', 'Road Trips', 'Newspapers', 'Hurricanes and Tropical Storms']"
2020-03-01,"Meredith Perry, Amit Bedi",article,News,,['Weddings and Engagements']
2020-03-01,"Thomas Schultz, Robert Blalock",article,News,,['Weddings and Engagements']
2020-03-01,"Avy Villaraza, Darnell Thompson",article,News,,['Weddings and Engagements']
2020-03-01,Alaïa and Lagerfeld: The Lives of Very Different Men,article,News,,"['Fashion and Apparel', 'Books and Literature', 'Design', 'Creativity', 'your-feed-fashion']"
2020-03-01,What to Cook This Week,article,News,,['Cooking and Cookbooks']
2020-03-01,Battle for Control of Senate Takes Shape as Both Parties Seek Firewall,article,News,,"['Politics and Government', 'Elections, Senate', 'United States Politics and Government', 'Primaries and Caucuses', 'Elections']"
2020-03-01,"Bernie Sanders Raised $46 Million in February, a Record for 2020",article,News,,"['Presidential Election of 2020', 'Campaign Finance', 'Political Advertising']"
2020-03-01,"Making a Plague Movie, With Coronavirus on the Doorstep",article,News,,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Movies']"
2020-03-01,A Painter and Social Activist With an ‘Unruly Nature’,article,News,,"['Art', 'Civil Rights Movement (1954-68)', 'Black People']"
2020-03-01,"Esther Gibofsky, Adam Rattner",article,News,,['Weddings and Engagements']
2020-03-02,"Feeling Robbed, the Dodgers Are ‘Working Angry’",article,News,,"['Baseball', 'Cheating']"
2020-03-02,New York City Had One of Its Least Snowy Winters on Record,article,News,,"['Snow and Snowstorms', 'Global Warming']"
2020-03-02,"Most Adults Should be Screened for Hepatitis C, New U.S. Guidelines Urge",article,News,,"['Hepatitis', 'Preventive Medicine', 'Liver', 'Drug Abuse and Traffic', 'Tests (Medical)']"
2020-03-02,China Stopped Its Economy to Tackle Coronavirus. Now the World Suffers.,article,News,,"['Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'International Trade and World Market', 'Travel and Vacations', 'Labor and Jobs', 'Layoffs and Job Reductions', 'Mines and Mining', 'Factories and Manufacturing', 'Epidemics']"
2020-03-02,Stop Touching Your Face!,article,News,,"['Face', 'Touch (Sense)', 'Hygiene and Cleanliness', 'Coronavirus (2019-nCoV)', 'Eyes and Eyesight', 'Research', 'SARS (Severe Acute Respiratory Syndrome)', 'Epidemics', 'Nose', 'Animal Behavior', 'Skin', 'Medicine and Health', 'Doctors', 'Mouth']"
2020-03-02,The Israel Election (Round 3): Here’s What You Need to Know,article,News,,"['Politics and Government', 'Elections']"
2020-03-02,How Much Does a Play Change During Previews? Just Ask ‘The Perplexed’,article,News,,['Theater']
2020-03-02,Supreme Court to Hear Obamacare Appeal,article,News,,"['Patient Protection and Affordable Care Act (2010)', 'Presidential Election of 2020', 'States (US)', 'Federal-State Relations (US)', 'United States Politics and Government', 'Suits and Litigation (Civil)']"
2020-03-02,"Trump, Returning to Retribution, Withdraws Pentagon Nomination",article,News,,"['APPOINTMENTS AND EXECUTIVE CHANGES', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']"
2020-03-02,"U.N. Panel Says Russia Bombed Syrian Civilian Targets, a War Crime",article,News,,"['Civilian Casualties', 'War Crimes, Genocide and Crimes Against Humanity', 'Human Rights and Human Rights Violations']"
2020-03-02,How the Democratic Establishment Stumbled as Sanders Surged,article,News,,"['Presidential Election of 2020', 'United States Politics and Government', 'Primaries and Caucuses']"
2020-03-02,Amy Klobuchar Drops Out of Presidential Race and Endorses Biden,article,News,,['Presidential Election of 2020']
2020-03-02,How the Democratic Establishment Stumbled as Sanders Surged,article,News,,"['Presidential Election of 2020', 'United States Politics and Government', 'Primaries and Caucuses']"
2020-03-02,Amy Klobuchar Drops Out of Presidential Race and Endorses Biden,article,News,,['Presidential Election of 2020']
2020-03-02,How a Pipeline Is Dividing Minnesota’s Democrats Ahead of Super Tuesday,article,News,,"['Pipelines', 'Oil (Petroleum) and Gasoline', 'Native Americans', 'Organized Labor', 'Presidential Election of 2020', 'Primaries and Caucuses', 'Global Warming']"
2020-03-02,How Bloomberg Buys the Silence of Unhappy Employees,article,News,,"['Presidential Election of 2020', 'Nondisclosure Agreements', 'Discrimination', 'Women and Girls', 'Suits and Litigation (Civil)', 'Sexual Harassment', 'Workplace Hazards and Violations', 'News and News Media']"
2020-03-02,Lil Dicky the Rapper Makes Way for Dave the TV Star,article,News,,"['Television', 'Comedy and Humor', 'Rap and Hip-Hop', 'ACTORS AND ACTRESSES']"
2020-03-02,David Hallberg to Run the Australian Ballet,article,News,,['Dancing']
2020-03-02,Turn to Jackfruit for a Vegan Snack,article,News,,"['Snack Foods', 'Fruit']"
2020-03-02,How Bloomberg Buys the Silence of Unhappy Employees,article,News,,"['Presidential Election of 2020', 'Nondisclosure Agreements', 'Discrimination', 'Women and Girls', 'Suits and Litigation (Civil)', 'Sexual Harassment', 'Workplace Hazards and Violations', 'News and News Media']"
2020-03-02,Silicon Valley Leaders’ Plea to Democrats: Anyone but Sanders,article,News,,"['Computers and the Internet', 'Presidential Election of 2020', 'Primaries and Caucuses', 'High Net Worth Individuals', 'United States Politics and Government']"
2020-03-02,"As Buttigieg Exits Race, Biden Seeks Edge Against Sanders on Super Tuesday",article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses']"
2020-03-02,"Most Adults Should be Screened for Hepatitis C, New U.S. Guidelines Urge",article,News,,"['Hepatitis', 'Preventive Medicine', 'Liver', 'Drug Abuse and Traffic', 'Tests (Medical)']"
2020-03-02,China Stopped Its Economy to Tackle Coronavirus. Now the World Suffers.,article,News,,"['Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'International Trade and World Market', 'Travel and Vacations', 'Labor and Jobs', 'Layoffs and Job Reductions', 'Mines and Mining', 'Factories and Manufacturing', 'Epidemics']"
2020-03-02,Stop Touching Your Face!,article,News,,"['Face', 'Touch (Sense)', 'Hygiene and Cleanliness', 'Coronavirus (2019-nCoV)', 'Eyes and Eyesight', 'Research', 'SARS (Severe Acute Respiratory Syndrome)', 'Epidemics', 'Nose', 'Animal Behavior', 'Skin', 'Medicine and Health', 'Doctors', 'Mouth']"
2020-03-02,Talking to Teens and Tweens About Coronavirus,article,News,,"['Coronavirus (2019-nCoV)', 'Teenagers and Adolescence', 'Psychology and Psychologists', 'Parenting', 'Anxiety and Stress', 'Hygiene and Cleanliness', 'Immune System']"
2020-03-02,"In Coronavirus Fight, China Gives Citizens a Color Code, With Red Flags",article,News,,"['Coronavirus (2019-nCoV)', 'Surveillance of Citizens by Government', 'Epidemics', 'Privacy', 'Computers and the Internet', 'Computer Security', 'Quarantines']"
2020-03-02,"Coming of Age, Whether She’s Ready or Not",article,News,,['Books and Literature']
2020-03-02,How Are You Coping With the Coronavirus?,article,News,,['Coronavirus (2019-nCoV)']
2020-03-02,‘The Face of the Coronavirus’: A Hong Kong Student Shunned in Italy,article,News,,"['Coronavirus (2019-nCoV)', 'Hong Kong Protests (2019)', 'Masks']"
2020-03-02,Stop Touching Your Face!,article,News,,"['Face', 'Touch (Sense)', 'Hygiene and Cleanliness', 'Coronavirus (2019-nCoV)', 'Eyes and Eyesight', 'Research', 'SARS (Severe Acute Respiratory Syndrome)', 'Epidemics', 'Nose', 'Animal Behavior', 'Skin', 'Medicine and Health', 'Doctors', 'Mouth']"
2020-03-02,Surfaces? Sneezes? Sex? How the Coronavirus Can and Cannot Spread,article,News,,"['Coronavirus (2019-nCoV)', 'Hygiene and Cleanliness', 'Epidemics']"
2020-03-02,Colombia Court Keeps Restrictive Abortion Law in Place,article,News,,"['ABORTION', 'Women and Girls', ""Women's Rights"", 'Birth Control and Family Planning']"
2020-03-02,"Coronavirus Outbreak Will Spread in New York City, Officials Warn",article,News,,"['Coronavirus (2019-nCoV)', 'Tests (Medical)', 'SARS (Severe Acute Respiratory Syndrome)', 'Medicine and Health']"
2020-03-02,"Before Prostate Surgery, Consider ‘Active Surveillance’",article,News,,"['Tests (Medical)', 'Prostate Cancer', 'Prostate Gland', 'Men and Boys', 'Surgery and Surgeons']"
2020-03-02,"No Corrections: March 2, 2020",article,News,,[]
2020-03-02,Nominee for Air Force Chief Would Be First African-American in Post,article,News,,"['United States Defense and Military Forces', 'Black People', 'APPOINTMENTS AND EXECUTIVE CHANGES', 'United States Politics and Government']"
2020-03-02,Stephen Curry’s Injury Rehab Takes a G-League Detour,article,News,,"['Basketball', 'Sports Injuries']"
2020-03-02,Nominee for Air Force Chief Would Be First African-American in Post,article,News,,"['United States Defense and Military Forces', 'Black People', 'APPOINTMENTS AND EXECUTIVE CHANGES', 'United States Politics and Government']"
2020-03-02,2nd Death Near Seattle Adds to Signs Virus Is Spreading in U.S.,article,News,,"['Coronavirus (2019-nCoV)', 'Nursing Homes', 'Epidemics']"
2020-03-02,Public Enemy Splits With Flavor Flav After Sanders Rally Dispute,article,News,,['Presidential Election of 2020']
2020-03-02,Apple Agrees to Pay Some iPhone Owners $25 Each,article,News,,['iPhone']
2020-03-02,The Secrets of a Catskills Diner,article,News,,"['Cooking and Cookbooks', 'Diners (Eating Places)']"
2020-03-02,Review: The Body Is Also a Percussive Instrument,article,News,,['Dancing']
2020-03-02,How the Coronavirus Has Disrupted Sports Events,article,News,,"['Coronavirus (2019-nCoV)', 'Athletics and Sports']"
2020-03-02,Lesson of the Day: ‘Should Robots Have a Face?’,article,News,,[]
2020-03-02,Exciting New Recipes!,article,News,,['Cooking and Cookbooks']
2020-03-02,How the Coronavirus Has Disrupted Sports Events,article,News,,"['Coronavirus (2019-nCoV)', 'Athletics and Sports']"
2020-03-02,The Architect Making Conceptual Art Out of Buildings,article,News,,['ARCHITECTURE']
2020-03-02,He Blames ‘Evil’ for South Korea’s Coronavirus Surge. Officials Blame Him.,article,News,,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Religious Cults', 'Christians and Christianity']"
2020-03-02,Marmalade With a Moroccan Touch,article,News,,['Citrus Fruits']
2020-03-02,How the Coronavirus Has Disrupted Sports Events,article,News,,"['Coronavirus (2019-nCoV)', 'Athletics and Sports']"
2020-03-02,"Before Prostate Surgery, Consider ‘Active Surveillance’",article,News,,"['Tests (Medical)', 'Prostate Cancer', 'Prostate Gland', 'Men and Boys', 'Surgery and Surgeons']"
2020-03-02,"No Corrections: March 2, 2020",article,News,,[]
2020-03-02,2nd Death Near Seattle Adds to Signs Virus Is Spreading in U.S.,article,News,,"['Coronavirus (2019-nCoV)', 'Nursing Homes', 'Epidemics']"
2020-03-02,Colombia Court Keeps Restrictive Abortion Law in Place,article,News,,"['ABORTION', 'Women and Girls', ""Women's Rights"", 'Birth Control and Family Planning']"
2020-03-02,"Before Prostate Surgery, Consider ‘Active Surveillance’",article,News,,"['Tests (Medical)', 'Prostate Cancer', 'Prostate Gland', 'Men and Boys', 'Surgery and Surgeons']"
2020-03-02,Should Plastic Bags Be Banned Everywhere?,article,News,,[]
2020-03-02,The Best Movies and TV Shows New on Netflix Canada in March,article,News,,"['Movies', 'Television', 'Web-Original Programming']"
2020-03-02,How to Fight That Sinking Feeling,article,News,,"['Coronavirus (2019-nCoV)', 'Stocks and Bonds']"
2020-03-02,"Armed Man Dies After Shooting at Catholic Church in California, Authorities Say",article,News,,"['Sutherland Springs, Tex, Shooting (2017)']"
2020-03-02,What the Heck Is That?,article,News,,"['Crossword Puzzles', 'Television', 'Computers and the Internet']"
2020-03-02,Defense Secretary Warns Commanders Not to Surprise Trump on Coronavirus,article,News,,"['United States Defense and Military Forces', 'AMERICANS ABROAD', 'Coronavirus (2019-nCoV)', 'United States Politics and Government']"
2020-03-02,U.S. Limits Chinese Staff at News Agencies Controlled by Beijing,article,News,,"['News and News Media', 'United States International Relations', 'United States Politics and Government', 'Visas', 'Propaganda']"
2020-03-02,Ousted Grammys Chief Deborah Dugan Is Fired,article,News,,"['Music', 'Grammy Awards', 'Sexual Harassment', 'Conflicts of Interest', 'Workplace Hazards and Violations', 'Ethics and Official Misconduct', 'APPOINTMENTS AND EXECUTIVE CHANGES']"
2020-03-02,19 Things About Betty Catroux,article,News,,"['Fashion and Apparel', 'Museums', 'your-feed-fashion']"
2020-03-02,"Summer at Bard: Nadia Boulanger, Music’s ‘One-Woman Graduate School’",article,News,,"['Classical Music', 'Bard SummerScape Festival', 'Women and Girls']"
2020-03-02,The Best Movies and TV Shows New on Netflix Canada in March,article,News,,"['Movies', 'Television', 'Web-Original Programming']"
2020-03-02,How to Fight That Sinking Feeling,article,News,,"['Coronavirus (2019-nCoV)', 'Stocks and Bonds']"
2020-03-02,"Armed Man Dies After Shooting at Catholic Church in California, Authorities Say",article,News,,"['Sutherland Springs, Tex, Shooting (2017)']"
2020-03-02,What the Heck Is That?,article,News,,"['Crossword Puzzles', 'Television', 'Computers and the Internet']"
2020-03-02,"At Arizona, Truth Without the Consequences",article,News,,"['Basketball (College)', 'Coaches and Managers', 'Draft and Recruitment (Sports)']"
2020-03-02,Joe Biden’s Big Win,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses']"
2020-03-02,OPEC Tries to Head Off Oil Glut as Coronavirus Saps Demand,article,News,,"['Oil (Petroleum) and Gasoline', 'Prices (Fares, Fees and Rates)', 'Coronavirus (2019-nCoV)']"
2020-03-02,What the Bond Market Is Saying About Investors’ Hopes,article,News,,"['United States Economy', 'Credit and Debt', 'Stocks and Bonds', 'Interest Rates', 'Coronavirus (2019-nCoV)']"
2020-03-02,Lawmakers Propose Making E-Commerce Companies Liable for Counterfeits,article,News,,"['Counterfeit Merchandise', 'Liability for Products', 'E-Commerce', 'Consumer Protection', 'United States Politics and Government', 'Law and Legislation']"
2020-03-02,The Benefits of Exercise for Children’s Mental Health,article,News,,"['Mental Health and Disorders', 'Anxiety and Stress', 'Depression (Mental)', 'Exercise', 'Children and Childhood', 'Teenagers and Adolescence', 'Athletics and Sports']"
2020-03-02,"At Center of Taliban Deal, a U.S. Envoy Who Made It Personal",article,News,,"['Afghanistan War (2001- )', 'United States International Relations', 'Diplomatic Service, Embassies and Consulates']"
2020-03-02,Matthew Broderick and Sarah Jessica Parker Spend the Night Together,article,News,,"['Theater', 'ACTORS AND ACTRESSES']"
2020-03-02,"Cuccinelli’s Appointment to Immigration Post Is Illegal, Judge Rules",article,News,,"['Immigration and Emigration', 'APPOINTMENTS AND EXECUTIVE CHANGES', 'United States Politics and Government', 'Decisions and Verdicts']"
2020-03-02,Stocks Surge as Central Banks Vow to Act on Coronavirus,article,News,,"['Coronavirus (2019-nCoV)', 'Stocks and Bonds', 'Interest Rates', 'Economic Conditions and Trends']"
2020-03-02,Quandary for 2020 Democrats: Which Criminal Justice Changes Get Priority?,article,News,,"['Presidential Election of 2020', 'Criminal Justice', 'Primaries and Caucuses']"
2020-03-02,Fatal Car Crashes Rise With Spring Clock Reset,article,News,,"['Daylight Saving Time', 'Traffic Accidents and Safety']"
2020-03-02,Supreme Court Weighs Whether Rejected Asylum Seekers Can Sue,article,News,,"['Immigration and Emigration', 'Habeas Corpus', 'Tamils (Ethnic Group)', 'United States Politics and Government', 'Refugees and Displaced Persons']"
2020-03-02,Barclays Urged to Remove C.E.O. From Board Over Epstein Ties,article,News,,"['Banking and Financial Institutions', 'Regulation and Deregulation of Industry', 'Sex Crimes', 'Human Trafficking']"
2020-03-02,Why the Weinstein Jury Decided to Convict: Inside the Deliberations,article,News,,"['#MeToo Movement', 'Sex Crimes', 'Decisions and Verdicts', 'Jury System', 'Movies']"
2020-03-02,Barclays Urged to Remove C.E.O. From Board Over Epstein Ties,article,News,,"['Banking and Financial Institutions', 'Regulation and Deregulation of Industry', 'Sex Crimes', 'Human Trafficking']"
2020-03-02,Supreme Court Weighs Whether Rejected Asylum Seekers Can Sue,article,News,,"['Immigration and Emigration', 'Habeas Corpus', 'Tamils (Ethnic Group)', 'United States Politics and Government', 'Refugees and Displaced Persons']"
2020-03-02,"Jack Welch, G.E. Chief Who Became a Business Superstar, Dies at 84",article,News,,"['Executive Compensation', 'Deaths (Obituaries)']"
2020-03-02,"Jack Welch, G.E. Chief Who Became a Business Superstar, Dies at 84",article,News,,"['Executive Compensation', 'Deaths (Obituaries)']"
2020-03-02,"Sneezing Dogs, Dancing Bees: How Animals Vote",article,News,,"['Animal Behavior', 'Bees', 'Monkeys and Apes', 'Dogs', 'ANTS', 'Research', 'your-feed-science']"
2020-03-02,U.S. Announces Troop Withdrawal in Afghanistan as Respite From Violence Ends,article,News,,"['United States Defense and Military Forces', 'Defense and Military Forces', 'Terrorism', 'Afghanistan War (2001- )']"
2020-03-02,About That Much Vaunted U.S.-U.K. Trade Deal? Maybe Not Now,article,News,,"['International Trade and World Market', 'Great Britain Withdrawal from EU (Brexit)']"
2020-03-02,"She Faced Her ISIS Rapist in Court, Then Watched Him Sentenced to Death",article,News,,"['Yazidi (Religious Sect)', 'Terrorism', 'Women and Girls', 'Sex Crimes', 'Human Rights and Human Rights Violations', 'Kidnapping and Hostages']"
2020-03-02,"For Good Gouda, Head to the Subway",article,News,,"['Cheese', 'Stations and Terminals (Passenger)']"
2020-03-02,"Buttigieg and Klobuchar Endorse Biden, Aiming to Slow Sanders",article,News,,"['Presidential Election of 2020', 'United States Politics and Government', 'Primaries and Caucuses', 'Endorsements']"
2020-03-02,Quandary for 2020 Democrats: Which Criminal Justice Changes Get Priority?,article,News,,"['Presidential Election of 2020', 'Criminal Justice', 'Primaries and Caucuses']"
2020-03-02,Fatal Car Crashes Rise With Spring Clock Reset,article,News,,"['Daylight Saving Time', 'Traffic Accidents and Safety']"
2020-03-02,Barclays Urged to Remove C.E.O. From Board Over Epstein Ties,article,News,,"['Banking and Financial Institutions', 'Regulation and Deregulation of Industry', 'Sex Crimes', 'Human Trafficking']"
2020-03-02,"For Good Gouda, Head to the Subway",article,News,,"['Cheese', 'Stations and Terminals (Passenger)']"
2020-03-02,Mike Bloomberg’s Stealth Weapon,article,News,,[]
2020-03-02,What’s on TV Monday: ‘Breeders’ and ‘Notes on a Scandal’,article,News,,"['Television', 'Movies']"
2020-03-02,"Sneezing Dogs, Dancing Bees: How Animals Vote",article,News,,"['Animal Behavior', 'Bees', 'Monkeys and Apes', 'Dogs', 'ANTS', 'Research', 'your-feed-science']"
2020-03-02,Vegetarian Diet May Lower Stroke Risk,article,News,,"['Stroke', 'Vegetarianism', 'Cholesterol', 'Hypertension', 'Meat', 'Fish and Other Marine Life', 'Diet and Nutrition']"
2020-03-02,Heat Waves May Raise Risk of Premature Birth,article,News,,"['Weather', 'Premature Babies', 'Temperature', 'Birth Rates', 'Pregnancy and Childbirth']"
2020-03-02,Unexplained Coronavirus Transmission in Florida Prompts Worries of More Cases,article,News,,"['Coronavirus (2019-nCoV)', 'Epidemics']"
2020-03-02,India’s Wine Country: A Charming Work in Progress,article,News,,"['Wines', 'Travel and Vacations']"
2020-03-02,Global Economic Policymakers Scramble as Coronavirus Threatens Growth,article,News,,"['Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'Recession and Depression', 'United States Economy', 'International Trade and World Market']"
2020-03-02,What Parents Should Know About Coronavirus,article,News,,"['Coronavirus (2019-nCoV)', 'Parenting', 'Children and Childhood']"
2020-03-02,"Israeli Election Gives Edge to Netanyahu, Initial Results Show",article,News,,"['Elections', 'Palestinians']"
2020-03-03,Real Wedding Day Looks,article,News,,"['Dresses', 'Fashion and Apparel', 'Weddings and Engagements']"
2020-03-03,5 Caribbean Islands Where You Can Go Beyond the Beach,article,News,,['Travel and Vacations']
2020-03-03,An Abortion Clinic’s Fate Before a Transformed Supreme Court,article,News,,"['ABORTION', 'Law and Legislation', 'Decisions and Verdicts', 'United States Politics and Government']"
2020-03-03,5 Caribbean Islands Where You Can Go Beyond the Beach,article,News,,['Travel and Vacations']
2020-03-03,Why 2019 Was a Breakthrough Year for Women in the Boardroom,article,News,,"['Workplace Environment', 'Gender', 'Women and Girls', 'Boards of Directors']"
