headline,date,doc_type,material_type,section,keywords
You Won’t Find Your Self-Worth on Instagram,2019-11-02,article,Op-Ed,,"['Social Media', 'Women and Girls', 'Photography', 'Computers and the Internet']"
"Quotation of the Day: Afghan Trauma: In the Front Seat, a Girl, 3, and Her Father, Who Is Dead",2019-11-03,article,Quote,,[]
Teens Love TikTok. Silicon Valley Is Trying to Stage an Intervention.,2019-11-03,article,News,,"['Social Media', 'Mobile Applications', 'Computers and the Internet', 'Video Recordings, Downloads and Streaming', 'Censorship', 'Mergers, Acquisitions and Divestitures']"
Takeaways From the First Month of the N.H.L. Season,2019-11-03,article,News,,"['Hockey, Ice']"
"Allison Stern, Robert Leshner",2019-11-03,article,News,,['Weddings and Engagements']
Our Hospital’s New Software Frets About My ‘Deficiencies’,2019-11-01,article,News,,"['your-feed-science', 'Electronic Health Records', 'Computers and the Internet', 'Hospitals', 'Doctors', 'Medicine and Health', 'Anxiety and Stress']"
The 2019 New York Times/New York Public Library Best Illustrated Children’s Books,2019-11-01,article,News,,[]
New Threats Put Wildfire Fighters’ Health on the Line,2019-11-01,article,News,,"['Wildfires', 'Fires and Firefighters', 'Hazardous and Toxic Substances', 'Chemicals', 'Workplace Hazards and Violations', 'Urban Areas', 'Suburbs']"
Pakistani Train Inferno Was Decades in the Making,2019-11-01,article,News,,"['Railroad Accidents and Safety', 'Fires and Firefighters', 'Deaths (Fatalities)', 'Politics and Government', 'Corruption (Institutional)']"
Museum Workers at Marciano Art Foundation Seek to Form a Union,2019-11-02,article,News,,"['Museums', 'Art', 'Labor and Jobs']"
"A Little Tension, a Little Nostalgia: Kawhi Leonard Faces the Spurs",2019-11-01,article,News,,['Basketball']
"Corrections: November 3, 2019",2019-11-03,article,News,,[]
Billionaires Only? Warren Errs in Saying Whom Her Health Plan Would Tax,2019-11-03,article,News,,"['Federal Taxes (US)', 'Income Tax', 'Health Insurance and Managed Care', 'Presidential Election of 2020', 'United States Politics and Government']"
2019 N.Y.C. Marathon in Photos,2019-11-03,article,News,,"['New York City Marathon', 'Running']"
Trump’s Opposition to ‘Endless Wars’ Appeals to Those Who Fought Them,2019-11-01,article,News,,"['Veterans', 'United States Defense and Military Forces', 'Afghanistan War (2001- )', 'Iraq War (2003-11)', 'September 11 (2001)', 'Polls and Public Opinion', 'United States Politics and Government']"
U.K. Truck Deaths Lead Vietnam Police to Arrest 2 Suspects,2019-11-01,article,News,,"['Immigration and Emigration', 'Human Trafficking', 'Deaths (Fatalities)']"
Jobs Are Plentiful. Big Pay Raises Aren’t.,2019-11-01,article,News,,"['Labor and Jobs', 'United States Economy', 'Wages and Salaries', 'Interest Rates', 'Unemployment']"
"Lesson of the Day: ‘200 Dispatches: Odd Animals, Offbeat Childhoods, Celebrity Origins and Extreme Sports’",2019-11-01,article,News,,[]
"‘Mistreated, Intimidated and Underpaid’: City Council Workers Rebel",2019-11-01,article,News,,"['Sexual Harassment', 'Ethics and Official Misconduct', 'Politics and Government', 'City Councils']"
"Tippecanoe and a Sword Caper, Too",2019-11-03,article,News,,"['Swords', 'Robberies and Thefts', 'Auctions', 'Museums', 'Art', 'Memorabilia and Souvenirs', 'War of 1812']"
"After Lopsided Win, 61-13, High School Coach Is Suspended",2019-11-02,article,News,,"['Interscholastic Athletics', 'Football', 'Coaches and Managers', 'Athletics and Sports']"
How to Make ‘Self-Care’ Actually Feel Like Self-Care,2019-11-03,article,News,,[]
5 Reasons to Question Alcohol Breath Tests,2019-11-03,article,News,,[]
Obama’s Very Boomer View of ‘Cancel Culture’,2019-11-01,article,Op-Ed,,"['Millennial Generation', 'Generation Z', 'Baby Boomers', 'Age, Chronological', 'Social Media', 'Demonstrations, Protests and Riots', 'Blacks', 'Black People', 'Race and Ethnicity', 'Discrimination', 'Social Conditions and Trends']"
"Paula White, Newest White House Aide, Is a Uniquely Trumpian Pastor",2019-11-02,article,News,,"['United States Politics and Government', 'Evangelical Movement', 'Presidential Election of 2020', 'Appointments and Executive Changes']"
How to Get Trump Voters and Liberals to Talk: Don’t Make Anyone Sit in a Circle,2019-11-03,article,News,,"['Presidential Election of 2020', 'United States Politics and Government', 'Voting and Voters']"
The Latest Entry in the True-Crime Serial Market: Copcasts,2019-11-03,article,News,,"['Podcasts', 'Police', 'Murders, Attempted Murders and Homicides']"
A Disgraced Ukrainian Oligarch’s Bizarre Ski Resort Plan,2019-11-03,article,News,,"['Wilderness Areas', 'Forests and Forestry', 'Skiing']"
Nobody Waved Goodbye: Trump’s Relationship With New York Was Already Over,2019-11-02,article,News,,"['United States Politics and Government', 'Taxation']"
Have an Extra Hour? Try Passing Through the ‘Daylight Saving Doughnut’,2019-11-02,article,News,,"['Daylight Saving Time', 'States (US)']"
"Corrections: November 2, 2019",2019-11-02,article,Correction,,[]
"Under Trump, Iraqis Who Helped U.S. in War Are Stalled in Refugee System",2019-11-02,article,News,,"['Refugees and Displaced Persons', 'United States Defense and Military Forces', 'Iraq War (2003-11)', 'United States Politics and Government', 'Diplomatic Service, Embassies and Consulates']"
"In the Blue Holes of the Bahamas, Secrets of Hurricanes Past",2019-11-01,article,News,,"['Hurricanes and Tropical Storms', 'Caves and Caverns', 'Research', 'your-feed-science']"
"After Exchanging Vows, They’re in It for Life",2019-11-01,article,News,,"['Halloween', 'Museums', 'Marriages']"
We Just Wanted to Talk E.U. Farm Policy. Why Was Someone Always Looking Over Our Shoulders?,2019-11-03,article,News,,"['Agriculture and Farming', 'Crop Controls and Subsidies', 'Corruption (Institutional)']"
Why Was My Doctor Visit Suddenly So Expensive?,2019-11-01,article,News,,"['Prices (Fares, Fees and Rates)', 'Health Insurance and Managed Care', 'Hospitals', 'Doctors']"
A Vote on Impeachment,2019-11-01,article,News,,"['United States Politics and Government', 'Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Whistle-Blowers']"
"Louis C.K., Back on Tour, Looks to Accelerate His Comeback",2019-11-02,article,News,,"['Comedy and Humor', '#MeToo Movement', 'Sexual Harassment']"
In the Mood for Turkish Food,2019-11-01,article,News,,"['Cooking and Cookbooks', 'Lamb', 'Pomegranates']"
Boris Johnson Has Big Lead in U.K. Election. That Might Not Mean Much.,2019-11-02,article,News,,"['Great Britain Withdrawal from EU (Brexit)', 'Elections']"
"Chicken, Chickpeas, Lemon, Yes",2019-11-01,article,News,,['Cooking and Cookbooks']
Should Facebook Fact-Check Political Speech?,2019-11-01,article,News,,[]
"Victoria Braithwaite, Researcher Who Said Fish Feel Pain, Dies at 52",2019-11-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Fish and Other Marine Life', 'Animal Behavior', 'Research', 'Science and Technology', 'Books and Literature']"
Warren Goes 1 for 2 on Medicare,2019-11-03,article,Op-Ed,,"['Taxation', 'Health Insurance and Managed Care', 'Medicare', 'Presidential Election of 2020', 'United States Politics and Government', 'Polls and Public Opinion', 'Federal Taxes (US)']"
Their Lives Changed in an Instant. A Food Bank Helped Them Recover.,2019-11-02,article,News,,[]
Standing Up for Humanity in a World of Screens,2019-11-01,article,Review,,"['Art', 'Television Sets and Media Devices', 'Video Recordings, Downloads and Streaming']"
What I Learned When I Stabbed Myself 52 Times,2019-11-02,article,Op-Ed,,"['Eyes and Eyesight', 'Drugs (Pharmaceuticals)', 'Blindness', 'Clinical Trials']"
WeWork’s Founder Allegedly Called Maternity Leave ‘Vacation’,2019-11-01,article,News,,['Discrimination']
Nigerian Women Say ‘MeToo.’ Critics Say ‘Prove It.’,2019-11-02,article,News,,"['Women and Girls', 'Sexual Harassment', 'Sex Crimes', '#MeToo Movement', 'Pentecostal Churches']"
The Fed’s View on Inflation Is Quietly Shifting. Here’s Why.,2019-11-01,article,News,,"['United States Economy', 'Inflation (Economics)', 'Interest Rates']"
Turkey Wants Refugees to Move to a ‘Safe Zone.’ It’s a Tough Sell.,2019-11-01,article,News,,"['Kurds', 'Refugees and Displaced Persons', 'Defense and Military Forces']"
The ‘Whimpering’ Terrorist Only Trump Seems to Have Heard,2019-11-02,article,News,,"['Terrorism', 'Targeted Killings', 'United States Defense and Military Forces']"
Elizabeth Warren’s Health Care Albatross,2019-11-02,article,Op-Ed,,"['Presidential Election of 2020', 'United States Politics and Government', 'Health Insurance and Managed Care']"
"Trump to Host the Nationals, Putting Aside Fans’ Boos",2019-11-02,article,News,,"['Baseball', 'World Series']"
Adoption Groups Could Turn Away L.G.B.T. Families Under Proposed Rule,2019-11-02,article,News,,"['ADOPTIONS', 'Foster Care', 'Homosexuality and Bisexuality', 'Discrimination', 'Freedom of Religion', 'Faith-Based Initiatives', 'Religion-State Relations', 'United States Politics and Government']"
The NeverTrump Vindication,2019-11-02,article,Op-Ed,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment', 'Conservatism (US Politics)', 'United States Politics and Government']"
The Government Protects Our Food and Cars. Why Not Our Data?,2019-11-02,article,News Analysis,,"['Data-Mining and Database Marketing', 'Privacy', 'Consumer Protection']"
244-Year-Old Rifle Stolen Decades Ago Is Returned to Museum,2019-11-01,article,News,,"['Firearms', 'Museums', 'Revolutionary War, American (1775-83)', 'Robberies and Thefts', 'ANTIQUES']"
Genre for Slayer and Iron Maiden,2019-11-03,article,News,,['Crossword Puzzles']
"Gary Jones, U.A.W. President, to Take a Leave of Absence",2019-11-02,article,News,,"['Automobiles', 'Organized Labor']"
"Meet Memo, the Marie Kondo of Fitness",2019-11-01,article,Op-Ed,,"['Marathon Running', 'Running', 'New York City Marathon', 'Exercise', 'Illegal Immigration', 'Citizenship and Naturalization', 'your-feed-opinionvideo']"
"Job Market Shows Resilience, Quieting Recession Fears",2019-11-01,article,News,,"['Labor and Jobs', 'United States Economy', 'Recession and Depression', 'Unemployment', 'Factories and Manufacturing', 'Strikes', 'Wages and Salaries', 'United States Politics and Government']"
He Took Her Parts in ‘Fires in the Mirror.’ All 25 of Them.,2019-11-01,article,News,,['Theater']
"Saudi Aramco, President Trump, WeWork: Your Monday Briefing",2019-11-03,article,briefing,,[]
Abort to Save a Child From a Life of Suffering?,2019-11-02,article,Letter,,"['ABORTION', 'Pregnancy and Childbirth']"
Considering Edna O’Brien’s Portrait of James Joyce,2019-11-01,article,News,,"['Books and Literature', 'Writing and Writers']"
"Jordan Rundell, Maximilian Sinsteden",2019-11-03,article,News,,['Weddings and Engagements']
Eddie Jones Has England Rugby Right Where He Wants It,2019-11-01,article,News,,"['World Cup 2019 (Rugby)', 'Rugby']"
"Trump’s Move: Bye, New York! Hello, Florida (Lower Taxes)!",2019-11-01,article,Letter,,"['United States Politics and Government', 'AIRLINES AND AIRPLANES', 'Hotels and Travel Lodgings']"
Aide Testified White House Lawyer Warned Him to Keep Trump Ukraine Call Secret,2019-11-02,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment', 'United States International Relations']"
Review: Brazilian Troupe Grupo de Rua in a Dark Urban Vision,2019-11-01,article,News,,['Dancing']
TikTok Said to Be Under National Security Review,2019-11-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'Social Media', 'Industrial Espionage', 'Privacy', 'United States Politics and Government', 'United States International Relations']"
Kenyan Runners Dominate in N.Y.C. Marathon,2019-11-03,article,News,,"['New York City Marathon', 'Running']"
"U.K. Halts Fracking in England, Citing Quake Concerns",2019-11-02,article,News,,"['Politics and Government', 'Shale', 'Oil (Petroleum) and Gasoline', 'Hydraulic Fracturing', 'Earthquakes']"
Kate DiCamillo’s New Novel May Be Her Finest Yet,2019-11-01,article,Review,,['Books and Literature']
Holiday Movies 2019: Here’s What’s Coming Soon to Theaters,2019-11-01,article,News,,['Movies']
"Corrections: November 1, 2019",2019-11-01,article,Correction,,[]
Trump Takes In a Different Kind of Fight: U.F.C. in New York,2019-11-03,article,News,,[]
"Barneys Is Sold for Scrap, Ending an Era",2019-11-01,article,News,,"['Bankruptcies', 'Mergers, Acquisitions and Divestitures', 'Shopping and Retail']"
Arrest Made in Halloween Shooting in Chicago That Injured a Trick-or-Treater,2019-11-01,article,News,,"['Crime and Criminals', 'Halloween']"
"Azam Taleghani, Defiant Would-Be President of Iran, Dies at 76",2019-11-01,article,Obituary (Obit),,"['Deaths (Obituaries)', ""Women's Rights"", 'Muslims and Islam']"
Now Comes the Naked Truth,2019-11-02,article,Op-Ed,,"['Baby Boomers', 'Generation Z', 'Millennial Generation', 'Privacy', 'Ethics and Official Misconduct', 'Social Media', 'Smartphones', 'Sexting', 'Cyberharassment', 'United States Politics and Government']"
"Lights, Camera, TikTok",2019-11-01,article,News,,"['Movies', 'Social Media']"
Are Electric Cars the Wheels of the Future?,2019-11-03,article,Letter,,"['Automobiles', 'Fuel Emissions (Transportation)', 'Electric and Hybrid Vehicles', 'United States Politics and Government', 'Primaries and Caucuses']"
The Best Chili Recipe Is Yours,2019-11-03,article,News,,['Cooking and Cookbooks']
"The Happy, Healthy Capitalists of Switzerland",2019-11-02,article,Op-Ed,,"['Economic Conditions and Trends', 'International Trade and World Market']"
Another Horse’s Death Overshadows Vino Rosso’s Win at Breeders’ Cup Classic,2019-11-03,article,News,,"['Horse Racing', 'Horses', ""Breeders' Cup (Horse Races)""]"
"The Best Movies and TV Shows New to Netflix, Amazon and Stan in Australia in November",2019-11-01,article,News,,"['Television', 'Movies']"
"Fighting Social Injustice Through Graffiti, and Making a Business of It",2019-11-01,article,News,,['Graffiti']
The American Way of Paying for Drugs Isn’t Working,2019-11-02,article,Editorial,,"['Drugs (Pharmaceuticals)', 'Medicare', 'Innovation', 'Prices (Fares, Fees and Rates)', 'Health Insurance and Managed Care']"
The Money Farmers: How Oligarchs and Populists Milk the E.U. for Millions,2019-11-03,article,News,,"['Agriculture and Farming', 'Crop Controls and Subsidies', 'Corruption (Institutional)', 'Politics and Government', 'Organized Crime', 'Conflicts of Interest', 'Legislatures and Parliaments']"
Adam Neumann and the Art of Failing Up,2019-11-02,article,News,,"['Entrepreneurship', 'Initial Public Offerings', 'Real Estate (Commercial)', 'Co-Working']"
What’s Coming at the Breeders’ Cup,2019-11-01,article,News,,"['Horse Racing', ""Breeders' Cup (Horse Races)"", 'Maximum Security (Race Horse)']"
5 Takeaways From the Latest Iowa Poll,2019-11-02,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'Polls and Public Opinion']"
Memphis Clerk Sentenced to 22 Years for Killing Teenager Who Stole Beer,2019-11-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Robberies and Thefts']"
Review: ‘His Dark Materials’ Paints a Vivid Children’s Crusade,2019-11-01,article,News,,['Television']
Tesla Batteries Investigated for Possible Defects,2019-11-02,article,News,,"['Driverless and Semiautonomous Vehicles', 'Automobile Safety Features and Defects', 'Batteries']"
Warren Health Plan Tightens Democrats’ Embrace of Tax Increases,2019-11-02,article,News,,"['Presidential Election of 2020', 'Corporate Taxes', 'Federal Taxes (US)', 'High Net Worth Individuals', 'Income Inequality', 'Health Insurance and Managed Care', 'United States Economy', 'United States Politics and Government']"
"As the Economy Slows, Which Investment Strategy Is Right for You?",2019-11-01,article,News,,"['Stocks and Bonds', 'Recession and Depression', 'United States Economy', 'High Net Worth Individuals', 'Financial Planners', 'Asset Allocation (Personal Finances)']"
She Fought for Muslim Women. Then She Was Found Dead.,2019-11-03,article,News,,"['Domestic Violence', 'Murders, Attempted Murders and Homicides', 'Muslims and Islam', 'Muslim Americans']"
Did Warren Pass the Medicare Test? I Think So,2019-11-01,article,Op-Ed,,"['Health Insurance and Managed Care', 'Taxation', 'Medicare']"
Connecticut Home Invasion Convict Is Undergoing Gender Transition in Prison,2019-11-01,article,News,,"['Transgender and Transsexuals', 'Capital Punishment', 'Murders, Attempted Murders and Homicides']"
"White House Freezes Military Aid to Lebanon, Against Wishes of Congress, State Dept. and Pentagon",2019-11-01,article,News,,['United States International Relations']
Stephen Curry Out At Least 3 Months After Surgery on Broken Left Hand,2019-11-01,article,News,,['Basketball']
How Toronto Reined In Big Tech,2019-11-01,article,Op-Ed,,"['Data-Mining and Database Marketing', 'Urban Areas', 'Computers and the Internet']"
"How Caroline Hirsch, Comedy Visionary, Spends Her Sundays",2019-11-01,article,News,,"['Comedy and Humor', 'New York Comedy Festival']"
Warren and Buttigieg Surge in Iowa at Expense of Sanders and Biden,2019-11-02,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses']"
The Best Movies and TV Shows New on Netflix Canada in November,2019-11-01,article,News,,"['Television', 'Movies']"
"Barry Frank Dies at 87; Sports Agent, Negotiator and Programmer",2019-11-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Athletics and Sports', 'Television', 'AGENTS (BUSINESS)', 'Olympic Games (1988)', 'ADVERTISING AND MARKETING']"
An Unnamed Source Who Shouldn’t Be Anonymous,2019-11-03,article,News,,"['News Sources, Confidential Status of', 'Tests (Sobriety)', 'Drunken and Reckless Driving', 'News and News Media']"
It’s a Buyers’ Market for Two-Bedrooms,2019-11-01,article,News,,"['Real Estate and Housing (Residential)', 'Condominiums', 'Cooperatives']"
Priest Dies in Northern New York in Storm That Lashed the Northeast,2019-11-02,article,News,,"['Power Failures and Blackouts', 'Floods', 'Weather', 'Deaths (Fatalities)']"
"Trump to Nominate Stephen Hahn, Cancer Researcher, to Head F.D.A.",2019-11-01,article,News,,"['United States Politics and Government', 'Appointments and Executive Changes', 'your-feed-healthcare']"
China Effectively Bans Online Sales of E-Cigarettes,2019-11-01,article,News,,"['E-Cigarettes', 'Smoking and Tobacco', 'Online Advertising', 'E-Commerce']"
Beth Ditto is ‘Feeling Self-Defensive’ and Fights Back,2019-11-01,article,News,,['ACTORS AND ACTRESSES']
