headline,date,doc_type,material_type,section,keywords
When the General Met the Gingerbread Man,2019-11-02,article,News,,"['Letters', 'Gingerbread', 'United States Defense and Military Forces', 'Education (K-12)']"
"Professors, Beware. In China, Student Spies Might Be Watching.",2019-11-01,article,News,,"['Colleges and Universities', 'Propaganda', 'Teachers and School Employees', 'Censorship']"
Donald Trump Jr. Critiques Mueller in New Book,2019-11-02,article,News,,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States Politics and Government']"
Review: A Pianist Reveals Bach’s Inner Dancer,2019-11-03,article,Review,,['Classical Music']
How to Leave TV for ‘Tootsie’? Get a Role in ‘Tootsie’ on TV,2019-11-01,article,News,,"['Theater', 'Television', 'ACTORS AND ACTRESSES']"
House Republicans Tried to Prank Democrats on Their Impeachment Votes. Capitol Police Investigated.,2019-11-01,article,News,,"['Presidential Election of 2020', 'Elections, House of Representatives']"
"Twitter, Elizabeth Warren, N.Y.C. Marathon: Your Weekend Briefing",2019-11-03,article,briefing,,[]
"New Delhi, Choking on Toxic Air, Declares Health Emergency",2019-11-01,article,News,,"['AIR POLLUTION', 'Deaths (Fatalities)', 'Diwali (Hindu Festival)']"
"Laura Paulsen, Andrew Pisansky",2019-11-03,article,News,,['Weddings and Engagements']
The Age of ‘The Age of Innocence’,2019-11-01,article,Review,,['Books and Literature']
"As Government Officials Testify Against Trump, Critics Question Why an Author Stays Anonymous",2019-11-02,article,News,,"['Books and Literature', 'United States Politics and Government']"
Wind Change Pushes Maria Fire Toward a California City,2019-11-01,article,News,,"['Wildfires', 'Fires and Firefighters']"
Elizabeth Warren Proposes $20.5 Trillion Health Care Plan,2019-11-01,article,News,,"['Presidential Election of 2020', 'Taxation', 'Federal Taxes (US)', 'Medicare', 'Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'Income Tax', 'Corporate Taxes', 'United States Politics and Government', 'Federal Budget (US)']"
"Cheryl Ann McCullagh, Conor Cassidy",2019-11-03,article,News,,['Weddings and Engagements']
Presidential Candidates Crave the Spotlight. 200 Years Ago That Was Taboo.,2019-11-03,article,News,,"['Presidential Election of 2020', 'Politics and Government']"
"Why Barbie, a Blimp and a Wienermobile Are Posting on Airbnb",2019-11-03,article,News,,"['ADVERTISING AND MARKETING', 'Hotels and Travel Lodgings', 'Travel and Vacations', 'Barbie (Doll)', 'Social Media']"
"Allison Wojteczko, Matthew Finan",2019-11-03,article,News,,['Weddings and Engagements']
Mets Hire Carlos Beltran as Their New Manager,2019-11-01,article,News,,"['Baseball', 'Coaches and Managers']"
A Celebrity Sommelier Is Accused of Sexual Assault,2019-11-01,article,News,,"['Wines', 'Sexual Harassment', '#MeToo Movement', 'Bars and Nightclubs', 'Restaurants', 'Workplace Environment']"
Her Illness Was Misdiagnosed as Madness. Now Susannah Cahalan Takes On Madness in Medicine.,2019-11-02,article,News,,"['Books and Literature', 'Mental Health and Disorders', 'Psychology and Psychologists', 'Psychiatry and Psychiatrists', 'Brain', 'Schizophrenia', 'Academic and Scientific Journals']"
"The Week in Arts: Clairo, John Cage and Shia LaBeouf’s ‘Honey Boy’",2019-11-01,article,News,,['Culture (Arts)']
Florida’s Advice to Trump and Other New York Transplants: ‘It’s Not Disney World’,2019-11-01,article,News,,[]
They Didn’t Find Life in a Hopeless Place,2019-11-01,article,News,,"['Extraterrestrial Life', 'Microbiology', 'Space and Astronomy', 'ACIDS', 'Salt', 'your-feed-science']"
‘The Writing on the Wall’: Voices of the Incarcerated,2019-11-01,article,News,,"['Art', 'ARCHITECTURE', 'Ex-Convicts', 'Prisons and Prisoners']"
How Mary Keitany Went From Maid to Marathon Champion,2019-11-02,article,News,,"['Running', 'New York City Marathon']"
These Ingredients Deserve Your Attention,2019-11-01,article,News,,"['Cooking and Cookbooks', 'Paprika', 'Parsley', 'Poultry']"
He Left His 310-Year-Old Violin on a Train. He Retrieved It in a Parking Lot.,2019-11-03,article,News,,"['Violins and Violas', 'Auctions', 'Classical Music', 'Musical Instruments']"
"T Suggests: A New Los Angeles Restaurant, Supremely Soft Cashmere and More",2019-11-01,article,News,,"['Fashion and Apparel', 'Restaurants', 'Desks', 'Furniture']"
"After All the Training, the New York City Marathon Is Here",2019-11-02,article,News,,"['New York City Marathon', 'Running', 'Marathon Running']"
"Booker Prize Winner ‘Girl, Woman, Other’ Is Coming to America",2019-11-01,article,News,,"['Books and Literature', 'Man Booker Prize', 'Blacks', 'Black People', 'Writing and Writers', 'Women and Girls', 'Race and Ethnicity', 'Age, Chronological', 'Awards, Decorations and Honors']"
"Brian Tarantina, Actor on ‘The Marvelous Mrs. Maisel,’ Dies at 60",2019-11-03,article,Obituary (Obit),,"['ACTORS AND ACTRESSES', 'Deaths (Obituaries)', 'Television']"
Drones Used in Crime Fly Under the Law’s Radar,2019-11-03,article,News,,"['Drones (Pilotless Planes)', 'Crime and Criminals', 'Police', 'Regulation and Deregulation of Industry']"
Threats and Abuse Prompt Female Lawmakers to Leave U.K. Parliament,2019-11-01,article,News,,"['Legislatures and Parliaments', 'Politics and Government', 'Women and Girls', 'Great Britain Withdrawal from EU (Brexit)', 'Social Media', 'Threats and Threatening Messages']"
McDonald’s Fires C.E.O. Steve Easterbrook After Relationship With Employee,2019-11-03,article,News,,"['Appointments and Executive Changes', 'Workplace Hazards and Violations']"
‘There’s Absolutely a Problem Here’: Readers on Long Job Hunts Even in a Strong Labor Market,2019-11-01,article,News,,"['Labor and Jobs', 'Discrimination', 'Recession and Depression', 'Anxiety and Stress', 'Unemployment', 'Hiring and Promotion', 'Personal Bankruptcies', 'Wages and Salaries', 'Employment Agencies']"
Trump and Impeachment Cast a Shadow Over New Jersey’s Elections,2019-11-01,article,News,,"['Elections, State Legislature', 'Impeachment', 'United States Politics and Government', 'Voting and Voters']"
Suicide Has Been Deadlier Than Combat for the Military,2019-11-01,article,Editorial,,"['Veterans', 'United States Defense and Military Forces', 'Suicides and Suicide Attempts', 'Iraq War (2003-11)', 'Depression (Mental)']"
Beto O’Rourke Drops Out of the Presidential Race,2019-11-01,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'United States Politics and Government']"
‘We Decided to Take the Rental Car for a Spin Around Manhattan’,2019-11-03,article,News,,[]
"Laura Megorden, Wade Walker",2019-11-03,article,News,,['Weddings and Engagements']
Trump Stymies California Climate Efforts Even as State Burns,2019-11-02,article,News,,"['Wildfires', 'Global Warming', 'Federal-State Relations (US)', 'United States Politics and Government', 'Automobiles', 'Fuel Emissions (Transportation)', 'Regulation and Deregulation of Industry']"
"Anna Williams, Jacob Jurlina",2019-11-03,article,News,,['Weddings and Engagements']
Uber Fights to Get Its Edge Back,2019-11-01,article,News,,"['Layoffs and Job Reductions', 'Car Services and Livery Cabs', 'Freelancing, Self-Employment and Independent Contracting', 'Company Reports', 'Mobile Applications']"
Finally Calling the Killing of Armenians ‘Genocide’,2019-11-01,article,Letter,,"['War Crimes, Genocide and Crimes Against Humanity', 'ARMENIANS', 'United States International Relations']"
Love Letter: Are You a Good Friend?,2019-11-01,article,News,,"['Love (Emotion)', 'Dating and Relationships', 'Social Media', 'Modern Love (Times Column)', 'your-feed-selfcare']"
"At Leicester City, a Revival Fueled by Sense, Not Sentiment",2019-11-02,article,News,,['Soccer']
"Your Friday Briefing: ISIS, Brexit, Greta Gerwig",2019-11-01,article,briefing,,[]
Taika Waititi Puts on a Tuxedo,2019-11-01,article,News,,"['Movies', 'Academy Awards (Oscars)']"
Muffling the Roar of the Crowd,2019-11-01,article,News,,"['Autism', 'Sensory Integration Dysfunction', 'Stadiums and Arenas']"
This Week’s 3 Top Impeachment Developments,2019-11-02,article,News,,['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']
World Series Champions,2019-11-01,article,News,,[]
Guantánamo Testimony Details Initial Handling of Prisoners Accused of Plotting 9/11,2019-11-02,article,News,,"['Interrogations', 'Detainees', 'Torture', 'United States Defense and Military Forces', 'Terrorism', 'September 11 (2001)']"
Should I Take Fish Oil?,2019-11-01,article,News,,"['Omega-3 Fatty Acids', 'Fish Farming', 'Fish and Other Marine Life', 'your-feed-selfcare']"
"With ‘Queen & Slim,’ Melina Matsoukas Steps Beyond Beyoncé",2019-11-01,article,News,,['Movies']
"Alice Li, Sanjay Bhatt",2019-11-03,article,News,,['Weddings and Engagements']
N.F.L. Week 9 Predictions: Our Picks Against the Spread,2019-11-01,article,News,,['Football']
"Katina Zulakis, Joshua Harris",2019-11-03,article,News,,['Weddings and Engagements']
"Flood of Oil Is Coming, Complicating Efforts to Fight Global Warming",2019-11-03,article,News,,"['Oil (Petroleum) and Gasoline', 'International Trade and World Market', 'Offshore Drilling and Exploration', 'Production', 'Prices (Fares, Fees and Rates)', 'Global Warming']"
Review: ‘A Woman of the World’ Dwells in Possibility,2019-11-01,article,Review,,['Theater']
The New Long Weekend,2019-11-01,article,News,,"['Travel and Vacations', 'Budget Travel']"
Russia Held Up an Ailing American Military Attaché From Leaving Moscow,2019-11-02,article,News,,"['United States International Relations', 'Diplomatic Service, Embassies and Consulates']"
Word + Quiz: unhinged,2019-11-01,article,News,,[]
"Deadspin’s Last Staff Member Quits. But Deadspin Is Not Dead, the Boss Says.",2019-11-01,article,News,,"['News and News Media', 'Private Equity', 'Blogs and Blogging (Internet)']"
She’s Putting Her Mark on the Kennedy Center,2019-11-01,article,News,,['Culture (Arts)']
The Internet at 50: ‘We Didn’t See the Dark Side Emerging’,2019-11-01,article,briefing,,['Computers and the Internet']
Matthew Rhys and the All-Feeling Male,2019-11-01,article,News,,"['Movies', 'Television']"
"Elizabeth Warren, TikTok, N.Y.C. Marathon: Your Friday Evening Briefing",2019-11-01,article,briefing,,[]
"Push to Raise Minimum Wage Goes Local, at Airports and Hotels",2019-11-03,article,News,,"['Wages and Salaries', 'Minimum Wage', 'Labor and Jobs', 'Law and Legislation', 'Hotels and Travel Lodgings', 'AIRPORTS', 'Organized Labor', 'Local Government']"
Benedict Cumberbatch and Jenny Holzer at Creative Time Gala,2019-11-01,article,News,,"['Parties (Social)', 'Philanthropy']"
Paying a Fair Wage Not Dependent on Tips,2019-11-03,article,Letter,,"['Tips and Tipping', 'Wages and Salaries', 'Restaurants']"
